date,sta,flight_no,origin,origin_code,airline_name,aircraft_type,tail_reg,icao_cat,cbp_flag,actual_landing,gate
31-Mar-26,13:45,FR7031,Faro (FAO),FAO,Ryanair,B738,SP-RNP,C,FALSE,,
31-Mar-26,13:55,FR435,Liverpool (LPL),LPL,Ryanair,B38M,9H-VVJ,C,FALSE,,
31-Mar-26,13:55,FR8936,Malta (MLA),MLA,Ryanair,B38M,EI-HET,C,FALSE,,
31-Mar-26,14:00,EI605,Amsterdam (AMS),AMS,Aer Lingus,A21N,EI-XLU,C,FALSE,,
31-Mar-26,14:00,FR11,Madrid (MAD),MAD,Ryanair,B38M,EI-HMZ,C,FALSE,,
31-Mar-26,14:05,EI451,Naples (NAP),NAP,Aer Lingus (Retro livery),A320,EI-DVM,C,FALSE,,
31-Mar-26,14:05,FR559,Manchester (MAN),MAN,Ryanair,B738,EI-EMH,C,FALSE,,
31-Mar-26,14:10,EI423,Venice (VCE),VCE,Aer Lingus,A320,EI-DVE,C,FALSE,,
31-Mar-26,14:10,EI525,Paris (CDG),CDG,Aer Lingus,A21N,EI-LRG,C,FALSE,,
31-Mar-26,14:20,EA3267,Birmingham (BHX),BHX,Aer Lingus Regional,AT76,EI-GPO,B,FALSE,,
31-Mar-26,14:22,N/A,Gran Canaria (LPA),LPA,-,H25B,OY-JBJ,C,FALSE,,
31-Mar-26,14:29,N/A,Rome (FCO),FCO,Aer Lingus,A320,EI-DER,C,FALSE,,
31-Mar-26,14:30,EI68,Los Angeles (LAX),LAX,Aer Lingus,A333,EI-GAJ,E,TRUE,,
31-Mar-26,14:30,BA830,London (LHR),LHR,British Airways,A320,G-EUYC,C,FALSE,,
31-Mar-26,14:30,FR338,London (LTN),LTN,Ryanair,B738,EI-EVJ,C,FALSE,,
31-Mar-26,14:35,EA3227,Glasgow (GLA),GLA,Aer Lingus Regional,AT76,EI-HDK,B,FALSE,,
31-Mar-26,14:35,FR117,London (LGW),LGW,Ryanair,B38M,EI-IHN,C,FALSE,,
31-Mar-26,14:35,FR203,London (STN),STN,Ryanair,B38M,EI-HGW,C,FALSE,,
31-Mar-26,14:40,EI505,Bordeaux (BOD),BOD,Aer Lingus,A320,EI-DEJ,C,FALSE,,
31-Mar-26,14:40,EA3255,Edinburgh (EDI),EDI,Aer Lingus Regional,AT76,EI-HNA,B,FALSE,,
31-Mar-26,14:45,EI581,Malaga (AGP),AGP,Aer Lingus,A333,EI-EIL,E,FALSE,,
31-Mar-26,14:45,EI493,Faro (FAO),FAO,Aer Lingus,A320,EI-EDP,C,FALSE,,
31-Mar-26,14:45,FR5911,Lanzarote (ACE),ACE,Ryanair,B38M,9H-VUQ,C,FALSE,,
